cd,var,obs
1001,total_pop_15+,226160
1001,labour_force,141865
1001,emp,126910
1001,unemp,14955
1001,not_labour_force,84295
1001,part_rate,0.627
1001,emp_rate,0.561
1001,unemp_rate,0.105
1001,noc_not_applicable,2395
1001,noc_managers,12895
1001,noc_1,20900
1001,noc_2,11630
1001,noc_3,10705
1001,noc_4,17480
1001,noc_5,3475
1001,noc_6,31655
1001,noc_7,22495
1001,noc_8,4000
1001,noc_9,4230
1001,commute_less_15_min,44430
1001,commute_15_29_min,50945
1001,commute_30_44_min,13290
1001,commute_45_59_min,3150
1001,commute_more_60_min,8825
1002,total_pop_15+,17585
1002,labour_force,9020
1002,emp,6930
1002,unemp,2085
1002,not_labour_force,8570
1002,part_rate,0.513
1002,emp_rate,0.394
1002,unemp_rate,0.231
1002,noc_not_applicable,145
1002,noc_managers,505
1002,noc_1,760
1002,noc_2,340
1002,noc_3,550
1002,noc_4,1290
1002,noc_5,75
1002,noc_6,1670
1002,noc_7,2395
1002,noc_8,785
1002,noc_9,500
1002,commute_less_15_min,3455
1002,commute_15_29_min,1400
1002,commute_30_44_min,650
1002,commute_45_59_min,295
1002,commute_more_60_min,690
1003,total_pop_15+,13620
1003,labour_force,7120
1003,emp,5135
1003,unemp,1985
1003,not_labour_force,6500
1003,part_rate,0.523
1003,emp_rate,0.377
1003,unemp_rate,0.279
1003,noc_not_applicable,160
1003,noc_managers,375
1003,noc_1,505
1003,noc_2,365
1003,noc_3,335
1003,noc_4,955
1003,noc_5,60
1003,noc_6,1615
1003,noc_7,1560
1003,noc_8,705
1003,noc_9,480
1003,commute_less_15_min,3125
1003,commute_15_29_min,865
1003,commute_30_44_min,305
1003,commute_45_59_min,140
1003,commute_more_60_min,370
1004,total_pop_15+,17440
1004,labour_force,8175
1004,emp,6240
1004,unemp,1935
1004,not_labour_force,9265
1004,part_rate,0.469
1004,emp_rate,0.358
1004,unemp_rate,0.237
1004,noc_not_applicable,370
1004,noc_managers,545
1004,noc_1,780
1004,noc_2,250
1004,noc_3,585
1004,noc_4,1200
1004,noc_5,95
1004,noc_6,1860
1004,noc_7,1660
1004,noc_8,570
1004,noc_9,255
1004,commute_less_15_min,3215
1004,commute_15_29_min,1375
1004,commute_30_44_min,625
1004,commute_45_59_min,315
1004,commute_more_60_min,420
1005,total_pop_15+,35565
1005,labour_force,20200
1005,emp,16870
1005,unemp,3330
1005,not_labour_force,15365
1005,part_rate,0.568
1005,emp_rate,0.474
1005,unemp_rate,0.165
1005,noc_not_applicable,500
1005,noc_managers,1595
1005,noc_1,2400
1005,noc_2,1010
1005,noc_3,2055
1005,noc_4,2590
1005,noc_5,285
1005,noc_6,4780
1005,noc_7,3700
1005,noc_8,615
1005,noc_9,670
1005,commute_less_15_min,9000
1005,commute_15_29_min,4260
1005,commute_30_44_min,1595
1005,commute_45_59_min,545
1005,commute_more_60_min,780
1006,total_pop_15+,32125
1006,labour_force,17785
1006,emp,14990
1006,unemp,2795
1006,not_labour_force,14340
1006,part_rate,0.554
1006,emp_rate,0.467
1006,unemp_rate,0.157
1006,noc_not_applicable,420
1006,noc_managers,1500
1006,noc_1,2065
1006,noc_2,1050
1006,noc_3,1725
1006,noc_4,2640
1006,noc_5,285
1006,noc_6,4155
1006,noc_7,3170
1006,noc_8,420
1006,noc_9,360
1006,commute_less_15_min,10210
1006,commute_15_29_min,2320
1006,commute_30_44_min,940
1006,commute_45_59_min,290
1006,commute_more_60_min,700
1007,total_pop_15+,29210
1007,labour_force,15605
1007,emp,12065
1007,unemp,3545
1007,not_labour_force,13600
1007,part_rate,0.534
1007,emp_rate,0.413
1007,unemp_rate,0.227
1007,noc_not_applicable,345
1007,noc_managers,915
1007,noc_1,1415
1007,noc_2,625
1007,noc_3,945
1007,noc_4,1790
1007,noc_5,160
1007,noc_6,3065
1007,noc_7,3935
1007,noc_8,1165
1007,noc_9,1250
1007,commute_less_15_min,5845
1007,commute_15_29_min,2105
1007,commute_30_44_min,1585
1007,commute_45_59_min,610
1007,commute_more_60_min,1160
1008,total_pop_15+,31090
1008,labour_force,15110
1008,emp,10560
1008,unemp,4550
1008,not_labour_force,15975
1008,part_rate,0.486
1008,emp_rate,0.34
1008,unemp_rate,0.301
1008,noc_not_applicable,305
1008,noc_managers,890
1008,noc_1,1075
1008,noc_2,465
1008,noc_3,830
1008,noc_4,1755
1008,noc_5,120
1008,noc_6,2830
1008,noc_7,3905
1008,noc_8,1845
1008,noc_9,1090
1008,commute_less_15_min,4895
1008,commute_15_29_min,2220
1008,commute_30_44_min,1135
1008,commute_45_59_min,730
1008,commute_more_60_min,1005
1009,total_pop_15+,13585
1009,labour_force,7560
1009,emp,4750
1009,unemp,2810
1009,not_labour_force,6030
1009,part_rate,0.556
1009,emp_rate,0.35
1009,unemp_rate,0.372
1009,noc_not_applicable,165
1009,noc_managers,465
1009,noc_1,515
1009,noc_2,280
1009,noc_3,520
1009,noc_4,960
1009,noc_5,90
1009,noc_6,1495
1009,noc_7,1445
1009,noc_8,1090
1009,noc_9,545
1009,commute_less_15_min,2725
1009,commute_15_29_min,755
1009,commute_30_44_min,380
1009,commute_45_59_min,150
1009,commute_more_60_min,365
1010,total_pop_15+,19565
1010,labour_force,13270
1010,emp,11445
1010,unemp,1820
1010,not_labour_force,6295
1010,part_rate,0.678
1010,emp_rate,0.585
1010,unemp_rate,0.137
1010,noc_not_applicable,190
1010,noc_managers,1085
1010,noc_1,1590
1010,noc_2,735
1010,noc_3,590
1010,noc_4,1605
1010,noc_5,155
1010,noc_6,2870
1010,noc_7,3390
1010,noc_8,585
1010,noc_9,465
1010,commute_less_15_min,7800
1010,commute_15_29_min,2140
1010,commute_30_44_min,445
1010,commute_45_59_min,255
1010,commute_more_60_min,515
1011,total_pop_15+,1995
1011,labour_force,1155
1011,emp,815
1011,unemp,345
1011,not_labour_force,840
1011,part_rate,0.579
1011,emp_rate,0.409
1011,unemp_rate,0.299
1011,noc_not_applicable,55
1011,noc_managers,90
1011,noc_1,105
1011,noc_2,25
1011,noc_3,35
1011,noc_4,260
1011,noc_5,30
1011,noc_6,215
1011,noc_7,230
1011,noc_8,60
1011,noc_9,50
1011,commute_less_15_min,665
1011,commute_15_29_min,50
1011,commute_30_44_min,15
1011,commute_45_59_min,10
1011,commute_more_60_min,15
1101,total_pop_15+,14195
1101,labour_force,9390
1101,emp,7920
1101,unemp,1475
1101,not_labour_force,4810
1101,part_rate,0.662
1101,emp_rate,0.558
1101,unemp_rate,0.157
1101,noc_not_applicable,140
1101,noc_managers,800
1101,noc_1,910
1101,noc_2,370
1101,noc_3,655
1101,noc_4,860
1101,noc_5,130
1101,noc_6,1890
1101,noc_7,1545
1101,noc_8,1495
1101,noc_9,600
1101,commute_less_15_min,2895
1101,commute_15_29_min,1960
1101,commute_30_44_min,1275
1101,commute_45_59_min,700
1101,commute_more_60_min,440
1102,total_pop_15+,66815
1102,labour_force,44740
1102,emp,40105
1102,unemp,4630
1102,not_labour_force,22075
1102,part_rate,0.67
1102,emp_rate,0.6
1102,unemp_rate,0.103
1102,noc_not_applicable,630
1102,noc_managers,5050
1102,noc_1,6495
1102,noc_2,2780
1102,noc_3,3600
1102,noc_4,5635
1102,noc_5,1100
1102,noc_6,10815
1102,noc_7,5730
1102,noc_8,1890
1102,noc_9,1025
1102,commute_less_15_min,16310
1102,commute_15_29_min,14390
1102,commute_30_44_min,4255
1102,commute_45_59_min,1235
1102,commute_more_60_min,795
1103,total_pop_15+,36045
1103,labour_force,23555
1103,emp,20090
1103,unemp,3460
1103,not_labour_force,12495
1103,part_rate,0.653
1103,emp_rate,0.557
1103,unemp_rate,0.147
1103,noc_not_applicable,260
1103,noc_managers,2070
1103,noc_1,3285
1103,noc_2,800
1103,noc_3,1505
1103,noc_4,2040
1103,noc_5,320
1103,noc_6,5025
1103,noc_7,3785
1103,noc_8,2625
1103,noc_9,1840
1103,commute_less_15_min,9910
1103,commute_15_29_min,5455
1103,commute_30_44_min,1630
1103,commute_45_59_min,955
1103,commute_more_60_min,860
1201,total_pop_15+,11945
1201,labour_force,7015
1201,emp,6225
1201,unemp,790
1201,not_labour_force,4925
1201,part_rate,0.587
1201,emp_rate,0.521
1201,unemp_rate,0.113
1201,noc_not_applicable,90
1201,noc_managers,420
1201,noc_1,715
1201,noc_2,110
1201,noc_3,415
1201,noc_4,545
1201,noc_5,70
1201,noc_6,1325
1201,noc_7,785
1201,noc_8,1545
1201,noc_9,1000
1201,commute_less_15_min,2840
1201,commute_15_29_min,1745
1201,commute_30_44_min,745
1201,commute_45_59_min,280
1201,commute_more_60_min,295
1202,total_pop_15+,20535
1202,labour_force,12400
1202,emp,11270
1202,unemp,1125
1202,not_labour_force,8140
1202,part_rate,0.604
1202,emp_rate,0.549
1202,unemp_rate,0.091
1202,noc_not_applicable,190
1202,noc_managers,910
1202,noc_1,1485
1202,noc_2,440
1202,noc_3,1055
1202,noc_4,1270
1202,noc_5,200
1202,noc_6,3020
1202,noc_7,1290
1202,noc_8,1715
1202,noc_9,835
1202,commute_less_15_min,5490
1202,commute_15_29_min,3590
1202,commute_30_44_min,1060
1202,commute_45_59_min,255
1202,commute_more_60_min,310
1203,total_pop_15+,15045
1203,labour_force,8405
1203,emp,7150
1203,unemp,1260
1203,not_labour_force,6640
1203,part_rate,0.559
1203,emp_rate,0.475
1203,unemp_rate,0.15
1203,noc_not_applicable,135
1203,noc_managers,710
1203,noc_1,975
1203,noc_2,250
1203,noc_3,575
1203,noc_4,695
1203,noc_5,130
1203,noc_6,1630
1203,noc_7,1335
1203,noc_8,1155
1203,noc_9,820
1203,commute_less_15_min,3020
1203,commute_15_29_min,2035
1203,commute_30_44_min,880
1203,commute_45_59_min,385
1203,commute_more_60_min,305
1204,total_pop_15+,8990
1204,labour_force,4350
1204,emp,3765
1204,unemp,580
1204,not_labour_force,4640
1204,part_rate,0.484
1204,emp_rate,0.419
1204,unemp_rate,0.133
1204,noc_not_applicable,145
1204,noc_managers,350
1204,noc_1,430
1204,noc_2,180
1204,noc_3,330
1204,noc_4,415
1204,noc_5,85
1204,noc_6,1020
1204,noc_7,755
1204,noc_8,335
1204,noc_9,300
1204,commute_less_15_min,1500
1204,commute_15_29_min,820
1204,commute_30_44_min,710
1204,commute_45_59_min,205
1204,commute_more_60_min,235
1205,total_pop_15+,17570
1205,labour_force,9280
1205,emp,8070
1205,unemp,1215
1205,not_labour_force,8290
1205,part_rate,0.528
1205,emp_rate,0.459
1205,unemp_rate,0.131
1205,noc_not_applicable,245
1205,noc_managers,960
1205,noc_1,1040
1205,noc_2,360
1205,noc_3,670
1205,noc_4,1035
1205,noc_5,165
1205,noc_6,2110
1205,noc_7,1740
1205,noc_8,535
1205,noc_9,420
1205,commute_less_15_min,2705
